Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HTSR,ATSR,HTSTR,ATSTR,HTSCR,ATSCR,HTSTCR,ATSTCR,HF,AF,HFC,AFC,HC,AC,HCC,ACC,HCD,ACD,HCDC,ACDC,PTS.O,PTS.H,PTS.A,NHOME,NAWAY,PTR.O,PTR.H,PTR.A
Bologna,10.875,9.46666666666667,3.375,2.73333333333333,11.25,14.6,3.625,4.46666666666667,1.125,0.8,1.1875,1.13333333333333,0.496114249941415,0.386816833498199,0.523193993506494,0.385750915750916,0.503885750058585,0.613183166501801,0.476806006493507,0.614249084249084,16.0625,12.4,14.375,13.6,5.625,4.13333333333333,5.125,7.13333333333333,2.625,2.46666666666667,2.8125,1.66666666666667,36,17,19,16,15,0.387096774193548,0.354166666666667,0.422222222222222
Milan,15.9333333333333,12.625,4.66666666666667,4,10.3333333333333,13.3125,2.86666666666667,4.0625,1.53333333333333,1.125,0.933333333333333,1.1875,0.591321031714851,0.481563491405276,0.607135642135642,0.468353174603175,0.408678968285149,0.518436508594724,0.392864357864358,0.531646825396825,14.3333333333333,16,14.9333333333333,17.75,6.8,5.25,3.93333333333333,5.125,2,2.75,2.8,2.5625,49,31,18,15,16,0.526881720430108,0.688888888888889,0.375
Atalanta,13.9375,10.5333333333333,4.3125,2.73333333333333,11.5625,13.7333333333333,3.625,4.66666666666667,1.375,0.533333333333333,1.0625,1.26666666666667,0.542553360986527,0.438886326113951,0.501791437728938,0.402442002442002,0.457446639013473,0.561113673886049,0.498208562271062,0.597557997557997,16.5625,18.0666666666667,15.9375,16.4,6.25,3.73333333333333,4.9375,5.33333333333333,2.25,3.46666666666667,3.125,2.53333333333333,36,25,11,16,15,0.387096774193548,0.520833333333333,0.244444444444444
Carpi,10.8125,10.4,3.125,3.26666666666667,12.5,13.0666666666667,4.3125,4.93333333333333,1.0625,0.8,1.375,1.8,0.472625931400891,0.432479840205196,0.415564123376623,0.407178932178932,0.527374068599109,0.567520159794804,0.584435876623377,0.592821067821068,16.8125,16.5333333333333,16.125,13.9333333333333,4.3125,5.06666666666667,5.25,7.2,2.5,3.13333333333333,2.25,2.13333333333333,28,17,11,16,15,0.301075268817204,0.354166666666667,0.244444444444444
Chievo,12.4666666666667,9.75,4.2,2.6875,13.1333333333333,17.9375,3.6,5.625,1.26666666666667,1.125,1.13333333333333,1.4375,0.499756720134032,0.354276973671901,0.547012987012987,0.337253891941392,0.500243279865968,0.645723026328099,0.452987012987013,0.662746108058608,16.0666666666667,17.6875,13.4666666666667,15.9375,3.8,4.125,4.93333333333333,7.4375,2.73333333333333,2.9375,2.2,2.4375,41,21,20,15,16,0.440860215053763,0.466666666666667,0.416666666666667
Genoa,13.875,10.4666666666667,4.75,2.93333333333333,12.125,14.3333333333333,3.6875,4.86666666666667,1.5625,0.733333333333333,0.875,1.53333333333333,0.520296773643354,0.422993305982906,0.513537330724831,0.418409368409368,0.479703226356646,0.577006694017094,0.486462669275169,0.581590631590632,15.625,17.3333333333333,17.9375,13.4,5.9375,4.4,4.75,5,2.4375,2.33333333333333,3,2.33333333333333,37,30,7,16,15,0.397849462365591,0.625,0.155555555555556
Napoli,18.6,15.8125,6.73333333333333,5.5,8.2,10.375,2,2.8125,2.26666666666667,1.8125,0.733333333333333,1,0.688963389435557,0.593866015658746,0.776504051504052,0.661611478798979,0.311036610564442,0.406133984341254,0.223495948495949,0.338388521201021,10.8666666666667,13.375,13.1333333333333,13.5,6.4,4.875,2.93333333333333,4.0625,1.6,2.125,2.66666666666667,2.4375,67,39,28,15,16,0.720430107526882,0.866666666666667,0.583333333333333
Roma,16,14.125,5.53333333333333,5.25,9.86666666666667,12.5,3.26666666666667,4.3125,2.4,1.875,0.933333333333333,1.125,0.61545987435327,0.516439714350189,0.626094276094276,0.519900932400932,0.38454012564673,0.483560285649811,0.373905723905724,0.480099067599068,15.4,14,13.4,13.4375,6.26666666666667,5.625,4.86666666666667,5,1.86666666666667,2.75,2.46666666666667,3.25,63,34,29,15,16,0.67741935483871,0.755555555555556,0.604166666666667
Torino,13.4375,11.8,5.25,4.33333333333333,9.75,13.0666666666667,3.625,3.8,1.3125,1.2,1.1875,1.6,0.582939407370911,0.462662166835359,0.600976974414474,0.536393606393606,0.417060592629089,0.537337833164641,0.399023025585526,0.463606393606394,17.3125,17.8,15.4375,12.3333333333333,5.125,5,3.1875,5.13333333333333,2.375,3,3,2.2,36,21,15,16,15,0.387096774193548,0.4375,0.333333333333333
Udinese,13.1333333333333,10.125,4,3.8125,12.3333333333333,15.75,3.8,5,0.933333333333333,0.9375,1.33333333333333,1.625,0.510237280906802,0.392852330532752,0.543580678580678,0.433859339190222,0.489762719093198,0.607147669467248,0.456419321419321,0.566140660809779,15.9333333333333,14.375,16.3333333333333,14.75,5.6,4.125,3.93333333333333,6.0625,2.8,2.9375,2.66666666666667,2.125,34,18,16,15,16,0.365591397849462,0.4,0.333333333333333
