Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Villarreal,12.3333333333333,9,3.66666666666667,4.33333333333333,10.6666666666667,11.6666666666667,3.33333333333333,3.66666666666667,1.66666666666667,1.33333333333333,1,1.66666666666667,13.6666666666667,8.66666666666667,9.66666666666667,11.3333333333333,4.33333333333333,4,3.33333333333333,3.66666666666667,0.444444444444444,0.444444444444444,0.333333333333333,0.542572463768116,0.55,0.426289034132171,0.533333333333333,0.457427536231884,0.45,0.573710965867829,0.466666666666667
Barcelona,15.6666666666667,14.6666666666667,6.66666666666667,7,10.3333333333333,10,3.66666666666667,3.33333333333333,3,3.66666666666667,1,1,12.3333333333333,9.33333333333333,12.6666666666667,17.3333333333333,5,3.66666666666667,4.33333333333333,4.33333333333333,0.666666666666667,0.777777777777778,0.583333333333333,0.611471861471861,0.633333333333333,0.592261904761905,0.722222222222222,0.388528138528139,0.366666666666667,0.407738095238095,0.277777777777778
Celta,9,10,2.33333333333333,4,9.33333333333333,16,4,6,0.666666666666667,1.33333333333333,0.333333333333333,2.33333333333333,15,13.3333333333333,6.33333333333333,12.6666666666667,6,5,1.33333333333333,6,0.555555555555556,0.666666666666667,0.583333333333333,0.50924688057041,0.371428571428571,0.386166705007285,0.466666666666667,0.49075311942959,0.628571428571429,0.613833294992715,0.533333333333333
Real Madrid,20.3333333333333,15.6666666666667,9,6,8.33333333333333,13.3333333333333,4,4.33333333333333,3.66666666666667,2.33333333333333,0.666666666666667,1,12.6666666666667,13,11.3333333333333,13,6.66666666666667,6,6,4.33333333333333,0.666666666666667,1,1,0.701330532212885,0.641666666666667,0.533564814814815,0.577777777777778,0.298669467787115,0.358333333333333,0.466435185185185,0.422222222222222
Sociedad,13,10.3333333333333,3,3,10,11.3333333333333,4.33333333333333,4,0.666666666666667,0.666666666666667,1,1.66666666666667,15,10.3333333333333,15.6666666666667,20.6666666666667,9.66666666666667,2.33333333333333,3.66666666666667,7,0.222222222222222,0.333333333333333,0.333333333333333,0.566315789473684,0.433333333333333,0.475079744816587,0.424603174603175,0.433684210526316,0.566666666666667,0.524920255183413,0.575396825396825
Eibar,9,12.6666666666667,2.33333333333333,4.33333333333333,9.66666666666667,11.3333333333333,5,3.66666666666667,0.333333333333333,0.666666666666667,2.33333333333333,1,16.3333333333333,14.3333333333333,10.3333333333333,13.6666666666667,5.33333333333333,3,3.66666666666667,7.66666666666667,0,0.222222222222222,0.166666666666667,0.48253367003367,0.30952380952381,0.507568922305764,0.483333333333333,0.51746632996633,0.69047619047619,0.492431077694236,0.516666666666667
Getafe,11.6666666666667,10,3,2,12,14.3333333333333,4.33333333333333,7,0.666666666666667,0,1,4,11.6666666666667,11.6666666666667,13.3333333333333,12.3333333333333,5.66666666666667,5,5.66666666666667,5.33333333333333,0.222222222222222,0,0.166666666666667,0.514803312629399,0.40952380952381,0.405194805194805,0.228571428571429,0.4851966873706,0.59047619047619,0.594805194805195,0.771428571428571
Las Palmas,13,11.3333333333333,5.66666666666667,4.66666666666667,9.66666666666667,12,3.33333333333333,3,2.33333333333333,1,1,0,12.6666666666667,11.3333333333333,14,13.6666666666667,5.33333333333333,4.33333333333333,4.33333333333333,7.66666666666667,0.666666666666667,1,0.75,0.576455026455026,0.638095238095238,0.486745718050066,0.6,0.423544973544974,0.361904761904762,0.513254281949934,0.4
Sevilla,14.3333333333333,8.66666666666667,4.66666666666667,4,11,18.6666666666667,4.66666666666667,7.66666666666667,2,0.666666666666667,1.33333333333333,2.33333333333333,14.6666666666667,11,12.3333333333333,11.6666666666667,8.33333333333333,8,5.66666666666667,8,0.666666666666667,0.111111111111111,0.333333333333333,0.56783950617284,0.516666666666667,0.326050420168067,0.384920634920635,0.43216049382716,0.483333333333333,0.673949579831933,0.615079365079365
Valencia,11,8,3.33333333333333,2.33333333333333,15.6666666666667,12,5,4.33333333333333,0.333333333333333,1,2.66666666666667,1.33333333333333,12,16.3333333333333,12.6666666666667,14.3333333333333,5.66666666666667,2.33333333333333,6.33333333333333,6.66666666666667,0,0.333333333333333,0,0.416730024256906,0.401190476190476,0.396532999164578,0.403174603174603,0.583269975743094,0.598809523809524,0.603467000835422,0.596825396825397
