Team,HS,AS,HST,AST,HSC,ASC,HSTC,ASTC,HG,AG,HGC,AGC,HF,AF,HFC,AFC,HC,AC,HCC,ACC,PTR.H,PTR.A,PTR.O,HTSR,HTSTR,ATSR,ATSTR,HTSCR,HTSTCR,ATSCR,ATSTCR
Aston Villa,13.3333333333333,6.33333333333333,3.66666666666667,1.33333333333333,13.3333333333333,14.3333333333333,7.66666666666667,4.33333333333333,0.333333333333333,0.333333333333333,3,2.33333333333333,8.66666666666667,11.6666666666667,7,8.66666666666667,7,2.33333333333333,6,8,0,0,0,0.508974358974359,0.316666666666667,0.313762626262626,0.338888888888889,0.491025641025641,0.683333333333333,0.686237373737374,0.661111111111111
Southampton,13,9,4,2.33333333333333,15,11,5.33333333333333,3.33333333333333,1.66666666666667,0.666666666666667,1.66666666666667,1.33333333333333,9.66666666666667,14.3333333333333,11,12,7.33333333333333,4.66666666666667,5,6,0.444444444444444,0.333333333333333,0.583333333333333,0.455842884657889,0.438492063492063,0.44484126984127,0.4,0.544157115342111,0.561507936507936,0.55515873015873,0.6
Sunderland,20,12.6666666666667,6,3.66666666666667,9.33333333333333,14,3.66666666666667,5.33333333333333,1.33333333333333,0.666666666666667,1,1,9.66666666666667,8.33333333333333,14,11.3333333333333,6.33333333333333,4.33333333333333,5.33333333333333,6.33333333333333,0.555555555555556,0.222222222222222,0.333333333333333,0.694343434343434,0.666666666666667,0.483309800514102,0.426587301587302,0.305656565656566,0.333333333333333,0.516690199485898,0.573412698412698
Swansea,11,11.6666666666667,2,3,11,14,3.33333333333333,4.33333333333333,0.666666666666667,2,0.333333333333333,2,11,12.6666666666667,12.3333333333333,8.66666666666667,4.66666666666667,3.66666666666667,3.33333333333333,5.66666666666667,0.666666666666667,0.444444444444444,0.583333333333333,0.503367003367003,0.373015873015873,0.459770114942529,0.402777777777778,0.496632996632997,0.626984126984127,0.540229885057471,0.597222222222222
Tottenham,25.6666666666667,15.3333333333333,11,5,7.33333333333333,13.3333333333333,2.66666666666667,4,2.33333333333333,1,1,0.666666666666667,10.3333333333333,9.33333333333333,10,9,6.66666666666667,6.66666666666667,4.66666666666667,7.66666666666667,0.777777777777778,0.444444444444444,0.666666666666667,0.796562112351586,0.837037037037037,0.523364075537989,0.538888888888889,0.203437887648414,0.162962962962963,0.476635924462011,0.461111111111111
Watford,11.3333333333333,9.66666666666667,3,2.66666666666667,11.3333333333333,15.6666666666667,5.33333333333333,7.33333333333333,0.333333333333333,0.666666666666667,1,2,11.3333333333333,14.3333333333333,14,8.33333333333333,5.33333333333333,5,5,8.33333333333333,0.111111111111111,0.333333333333333,0,0.5,0.337878787878788,0.379382716049383,0.314285714285714,0.5,0.662121212121212,0.620617283950617,0.685714285714286
West Ham,13.6666666666667,13.6666666666667,4,5.66666666666667,11.3333333333333,16.6666666666667,3.66666666666667,5.33333333333333,1.33333333333333,2.33333333333333,0.666666666666667,2,11,12.6666666666667,13,13.6666666666667,5,6,4.66666666666667,7.33333333333333,0.777777777777778,0.555555555555556,0.666666666666667,0.539262187088274,0.524675324675325,0.453670634920635,0.532245532245532,0.460737812911726,0.475324675324675,0.546329365079365,0.467754467754468
Crystal Palace,13.3333333333333,13.3333333333333,5,4,12.3333333333333,15.3333333333333,3.66666666666667,5.66666666666667,0.666666666666667,2,1.66666666666667,2.33333333333333,10.6666666666667,16.3333333333333,15,12.3333333333333,8,5.33333333333333,6,3.66666666666667,0,0.222222222222222,0.166666666666667,0.535858585858586,0.571957671957672,0.47008547008547,0.398268398268398,0.464141414141414,0.428042328042328,0.52991452991453,0.601731601731602
Man City,22.3333333333333,11.3333333333333,5,4,4.33333333333333,9,2.33333333333333,3,1.66666666666667,1.33333333333333,1,1,10.3333333333333,10.6666666666667,13,12.6666666666667,9,4.66666666666667,2.33333333333333,3.33333333333333,0.333333333333333,0.444444444444444,0.583333333333333,0.838458781362007,0.623809523809524,0.531196581196581,0.666666666666667,0.161541218637993,0.376190476190476,0.468803418803419,0.333333333333333
Liverpool,14,16,6.33333333333333,7.66666666666667,9.66666666666667,12,3,3.33333333333333,2,3.33333333333333,1,1.33333333333333,9.66666666666667,12.6666666666667,12.3333333333333,10.6666666666667,7.33333333333333,5.66666666666667,4.33333333333333,3,0.555555555555556,0.666666666666667,0.333333333333333,0.62784365393061,0.691798941798942,0.58407605466429,0.699470899470899,0.37215634606939,0.308201058201058,0.41592394533571,0.3005291005291
